MSOA21CD	MSOA21NM	Licence area	Licence area (alternative)
E02006401	Runnymede 009	SPN	UKPN (South)
E02006430	Tandridge 003	SPN	UKPN (South)
E02006437	Tandridge 010	SPN	UKPN (South)
E02006438	Tandridge 011	SPN	UKPN (South)
E02006456	Woking 001	SPN	UKPN (South)
E02006457	Woking 002	SPN	UKPN (South)
E02006462	Woking 007	SPN	UKPN (South)
E02006463	Woking 008	SPN	UKPN (South)
E02006466	Woking 011	SPN	UKPN (South)
E02006467	Woking 012	SPN	UKPN (South)
E02006535	Adur 002	SPN	UKPN (South)
E02006536	Adur 003	SPN	UKPN (South)
E02006538	Adur 005	SPN	UKPN (South)
E02006539	Adur 006	SPN	UKPN (South)
E02006541	Adur 008	SPN	UKPN (South)
E02006545	Arun 004	SPN	UKPN (South)
E02006546	Arun 005	SPN	UKPN (South)
E02006551	Arun 010	SPN	UKPN (South)
E02006575	Crawley 001	SPN	UKPN (South)
E02006576	Crawley 002	SPN	UKPN (South)
E02006577	Crawley 003	SPN	UKPN (South)
E02006579	Crawley 005	SPN	UKPN (South)
E02006580	Crawley 006	SPN	UKPN (South)
E02006581	Crawley 007	SPN	UKPN (South)
E02006584	Crawley 010	SPN	UKPN (South)
E02006585	Crawley 011	SPN	UKPN (South)
E02006586	Crawley 012	SPN	UKPN (South)
E02006587	Crawley 013	SPN	UKPN (South)
E02006590	Horsham 003	SPN	UKPN (South)
E02006591	Horsham 004	SPN	UKPN (South)
E02006595	Horsham 008	SPN	UKPN (South)
E02006601	Horsham 014	SPN	UKPN (South)
E02006602	Horsham 015	SPN	UKPN (South)
E02006603	Horsham 016	SPN	UKPN (South)
E02006606	Mid Sussex 003	SPN	UKPN (South)
E02006607	Mid Sussex 004	SPN	UKPN (South)
E02006613	Mid Sussex 010	SPN	UKPN (South)
E02006616	Mid Sussex 013	SPN	UKPN (South)
E02006619	Mid Sussex 016	SPN	UKPN (South)
E02006621	Worthing 001	SPN	UKPN (South)
E02006622	Worthing 002	SPN	UKPN (South)
E02006623	Worthing 003	SPN	UKPN (South)
E02006624	Worthing 004	SPN	UKPN (South)
E02006625	Worthing 005	SPN	UKPN (South)
E02006626	Worthing 006	SPN	UKPN (South)
E02006627	Worthing 007	SPN	UKPN (South)
E02006628	Worthing 008	SPN	UKPN (South)
E02006629	Worthing 009	SPN	UKPN (South)
E02006630	Worthing 010	SPN	UKPN (South)
E02006631	Worthing 011	SPN	UKPN (South)
E02006632	Worthing 012	SPN	UKPN (South)
E02006633	Worthing 013	SPN	UKPN (South)
E02006782	Bromley 040	LPN	UKPN (London)
E02006783	Lewisham 037	LPN	UKPN (London)
E02006784	Lewisham 038	LPN	UKPN (London)
E02006787	Bromley 041	LPN	UKPN (London)
E02006788	Croydon 045	SPN	UKPN (South)
E02006793	Enfield 037	EPN	UKPN (East)
E02006795	Harrow 032	EPN	UKPN (East)
E02006796	Hillingdon 033	EPN	UKPN (East)
E02006798	Lewisham 039	LPN	UKPN (London)
E02006801	Lambeth 036	LPN	UKPN (London)
E02006802	Southwark 034	LPN	UKPN (London)
E02006836	Sutton 025	SPN	UKPN (South)
E02006853	Tower Hamlets 032	LPN	UKPN (London)
E02006857	Eastbourne 013	SPN	UKPN (South)
E02006873	South Cambridgeshire 020	EPN	UKPN (East)
E02006874	South Cambridgeshire 021	EPN	UKPN (East)
E02006877	Peterborough 022	EPN	UKPN (East)
E02006918	Hackney 028	LPN	UKPN (London)
E02006926	Thurrock 020	EPN	UKPN (East)
E02006927	Greenwich 034	LPN	UKPN (London)
E02006929	Greenwich 036	LPN	UKPN (London)
E02006931	Greenwich 038	LPN	UKPN (London)
E02000004	Barking and Dagenham 003	EPN	UKPN (East)
E02000011	Barking and Dagenham 010	EPN	UKPN (East)
E02000015	Barking and Dagenham 014	EPN	UKPN (East)
E02000016	Barking and Dagenham 015	LPN	UKPN (London)
E02000023	Barking and Dagenham 022	LPN	UKPN (London)
E02000026	Barnet 003	EPN	UKPN (East)
E02000028	Barnet 005	EPN	UKPN (East)
E02000039	Barnet 016	EPN	UKPN (East)
E02000040	Barnet 017	EPN	UKPN (East)
E02000046	Barnet 023	EPN	UKPN (East)
E02000054	Barnet 031	EPN	UKPN (East)
E02000057	Barnet 034	EPN	UKPN (East)
E02000062	Barnet 039	EPN	UKPN (East)
E02000063	Barnet 040	EPN	UKPN (East)
E02000064	Barnet 041	EPN	UKPN (East)
E02000065	Bexley 001	LPN	UKPN (London)
E02000068	Bexley 004	LPN	UKPN (London)
E02000069	Bexley 005	LPN	UKPN (London)
E02000104	Brent 012	EPN	UKPN (East)
E02000108	Brent 016	EPN	UKPN (East)
E02000116	Brent 024	LPN	UKPN (London)
E02000119	Brent 027	LPN	UKPN (London)
E02000126	Brent 034	LPN	UKPN (London)
E02000136	Bromley 010	SPN	UKPN (South)
E02000144	Bromley 018	LPN	UKPN (London)
E02000147	Bromley 021	LPN	UKPN (London)
E02000150	Bromley 024	LPN	UKPN (London)
E02000152	Bromley 026	LPN	UKPN (London)
E02000162	Bromley 036	SPN	UKPN (South)
E02000176	Camden 011	LPN	UKPN (London)
E02000179	Camden 014	LPN	UKPN (London)
E02000182	Camden 017	LPN	UKPN (London)
E02000186	Camden 021	LPN	UKPN (London)
E02000189	Camden 024	LPN	UKPN (London)
E02000191	Camden 026	LPN	UKPN (London)
E02000192	Camden 027	LPN	UKPN (London)
E02000193	Camden 028	LPN	UKPN (London)
E02000196	Croydon 003	SPN	UKPN (South)
E02000214	Croydon 021	SPN	UKPN (South)
E02000216	Croydon 023	SPN	UKPN (South)
E02000218	Croydon 025	SPN	UKPN (South)
E02000229	Croydon 036	SPN	UKPN (South)
E02000232	Croydon 039	SPN	UKPN (South)
E02000233	Croydon 040	SPN	UKPN (South)
E02000235	Croydon 042	SPN	UKPN (South)
E02000239	Ealing 002	EPN	UKPN (East)
E02000277	Enfield 001	EPN	UKPN (East)
E02000285	Enfield 009	EPN	UKPN (East)
E02000287	Enfield 011	EPN	UKPN (East)
E02000289	Enfield 013	EPN	UKPN (East)
E02000290	Enfield 014	EPN	UKPN (East)
E02000293	Enfield 017	EPN	UKPN (East)
E02000313	Greenwich 001	LPN	UKPN (London)
E02000320	Greenwich 008	LPN	UKPN (London)
E02000321	Greenwich 009	LPN	UKPN (London)
E02000324	Greenwich 012	LPN	UKPN (London)
E02000326	Greenwich 014	LPN	UKPN (London)
E02000327	Greenwich 015	LPN	UKPN (London)
E02000328	Greenwich 016	LPN	UKPN (London)
E02000329	Greenwich 017	LPN	UKPN (London)
E02000331	Greenwich 019	LPN	UKPN (London)
E02000333	Greenwich 021	LPN	UKPN (London)
E02000334	Greenwich 022	LPN	UKPN (London)
E02000335	Greenwich 023	LPN	UKPN (London)
E02000339	Greenwich 027	LPN	UKPN (London)
E02000340	Greenwich 028	LPN	UKPN (London)
E02000343	Greenwich 031	LPN	UKPN (London)
E02000344	Greenwich 032	LPN	UKPN (London)
E02000346	Hackney 002	LPN	UKPN (London)
E02000352	Hackney 008	LPN	UKPN (London)
E02000356	Hackney 012	LPN	UKPN (London)
E02000357	Hackney 013	LPN	UKPN (London)
E02000359	Hackney 015	LPN	UKPN (London)
E02000361	Hackney 017	LPN	UKPN (London)
E02000362	Hackney 018	LPN	UKPN (London)
E02000370	Hackney 026	LPN	UKPN (London)
E02000373	Hammersmith and Fulham 002	LPN	UKPN (London)
E02000374	Hammersmith and Fulham 003	LPN	UKPN (London)
E02000375	Hammersmith and Fulham 004	LPN	UKPN (London)
E02000376	Hammersmith and Fulham 005	LPN	UKPN (London)
E02000378	Hammersmith and Fulham 007	LPN	UKPN (London)
E02000379	Hammersmith and Fulham 008	LPN	UKPN (London)
E02000380	Hammersmith and Fulham 009	LPN	UKPN (London)
E02000382	Hammersmith and Fulham 011	LPN	UKPN (London)
E02000385	Hammersmith and Fulham 014	LPN	UKPN (London)
E02000387	Hammersmith and Fulham 016	LPN	UKPN (London)
E02000390	Hammersmith and Fulham 019	LPN	UKPN (London)
E02000393	Hammersmith and Fulham 022	LPN	UKPN (London)
E02000395	Hammersmith and Fulham 024	LPN	UKPN (London)
E02000396	Hammersmith and Fulham 025	LPN	UKPN (London)
E02000397	Haringey 001	EPN	UKPN (East)
E02000398	Haringey 002	EPN	UKPN (East)
E02000400	Haringey 004	EPN	UKPN (East)
E02000401	Haringey 005	EPN	UKPN (East)
E02000402	Haringey 006	EPN	UKPN (East)
E02000403	Haringey 007	EPN	UKPN (East)
E02000404	Haringey 008	EPN	UKPN (East)
E02000405	Haringey 009	EPN	UKPN (East)
E02000406	Haringey 010	EPN	UKPN (East)
E02000407	Haringey 011	EPN	UKPN (East)
E02000408	Haringey 012	EPN	UKPN (East)
E02000409	Haringey 013	EPN	UKPN (East)
E02000410	Haringey 014	EPN	UKPN (East)
E02000411	Haringey 015	EPN	UKPN (East)
E02000412	Haringey 016	EPN	UKPN (East)
E02000413	Haringey 017	EPN	UKPN (East)
E02000414	Haringey 018	EPN	UKPN (East)
E02000415	Haringey 019	EPN	UKPN (East)
E02000417	Haringey 021	EPN	UKPN (East)
E02000418	Haringey 022	EPN	UKPN (East)
E02000419	Haringey 023	EPN	UKPN (East)
E02000420	Haringey 024	EPN	UKPN (East)
E02000421	Haringey 025	EPN	UKPN (East)
E02000422	Haringey 026	EPN	UKPN (East)
E02000423	Haringey 027	EPN	UKPN (East)
E02000424	Haringey 028	EPN	UKPN (East)
E02000425	Haringey 029	EPN	UKPN (East)
E02000426	Haringey 030	EPN	UKPN (East)
E02000427	Haringey 031	EPN	UKPN (East)
E02000428	Haringey 032	EPN	UKPN (East)
E02000429	Haringey 033	EPN	UKPN (East)
E02000430	Haringey 034	EPN	UKPN (East)
E02000431	Haringey 035	EPN	UKPN (East)
E02000432	Haringey 036	EPN	UKPN (East)
E02000433	Harrow 001	EPN	UKPN (East)
E02000435	Harrow 003	EPN	UKPN (East)
E02000436	Harrow 004	EPN	UKPN (East)
E02000441	Harrow 009	EPN	UKPN (East)
E02000447	Harrow 015	EPN	UKPN (East)
E02000448	Harrow 016	EPN	UKPN (East)
E02000451	Harrow 019	EPN	UKPN (East)
E02000452	Harrow 020	EPN	UKPN (East)
E02000453	Harrow 021	EPN	UKPN (East)
E02000454	Harrow 022	EPN	UKPN (East)
E02000455	Harrow 023	EPN	UKPN (East)
E02000456	Harrow 024	EPN	UKPN (East)
E02000457	Harrow 025	EPN	UKPN (East)
E02000459	Harrow 027	EPN	UKPN (East)
E02000460	Harrow 028	EPN	UKPN (East)
E02000461	Harrow 029	EPN	UKPN (East)
E02000462	Harrow 030	EPN	UKPN (East)
E02000464	Havering 001	EPN	UKPN (East)
E02000469	Havering 006	EPN	UKPN (East)
E02000478	Havering 015	EPN	UKPN (East)
E02000482	Havering 019	EPN	UKPN (East)
E02000492	Havering 029	EPN	UKPN (East)
E02000493	Havering 030	EPN	UKPN (East)
E02000498	Hillingdon 005	EPN	UKPN (East)
E02000560	Islington 007	LPN	UKPN (London)
E02000561	Islington 008	LPN	UKPN (London)
E02000578	Kensington and Chelsea 002	LPN	UKPN (London)
E02000591	Kensington and Chelsea 015	LPN	UKPN (London)
E02000600	Kingston upon Thames 003	SPN	UKPN (South)
E02000603	Kingston upon Thames 006	LPN	UKPN (London)
E02000607	Kingston upon Thames 010	SPN	UKPN (South)
E02000608	Kingston upon Thames 011	SPN	UKPN (South)
E02000616	Kingston upon Thames 019	SPN	UKPN (South)
E02000634	Lambeth 017	LPN	UKPN (London)
E02000661	Lewisham 009	LPN	UKPN (London)
E02000663	Lewisham 011	LPN	UKPN (London)
E02000665	Lewisham 013	LPN	UKPN (London)
E02000666	Lewisham 014	LPN	UKPN (London)
E02000667	Lewisham 015	LPN	UKPN (London)
E02000668	Lewisham 016	LPN	UKPN (London)
E02000670	Lewisham 018	LPN	UKPN (London)
E02000677	Lewisham 025	LPN	UKPN (London)
E02000678	Lewisham 026	LPN	UKPN (London)
E02000680	Lewisham 028	LPN	UKPN (London)
E02000683	Lewisham 031	LPN	UKPN (London)
E02000686	Lewisham 034	LPN	UKPN (London)
E02000690	Merton 002	LPN	UKPN (London)
E02000714	Newham 001	LPN	UKPN (London)
E02000715	Newham 002	LPN	UKPN (London)
E02000716	Newham 003	LPN	UKPN (London)
E02000717	Newham 004	LPN	UKPN (London)
E02000718	Newham 005	LPN	UKPN (London)
E02000719	Newham 006	LPN	UKPN (London)
E02000720	Newham 007	LPN	UKPN (London)
E02000722	Newham 009	LPN	UKPN (London)
E02000725	Newham 012	LPN	UKPN (London)
E02000727	Newham 014	LPN	UKPN (London)
E02000729	Newham 016	LPN	UKPN (London)
E02000730	Newham 017	LPN	UKPN (London)
E02000732	Newham 019	LPN	UKPN (London)
E02000734	Newham 021	LPN	UKPN (London)
E02000735	Newham 022	LPN	UKPN (London)
E02000738	Newham 025	LPN	UKPN (London)
E02000739	Newham 026	LPN	UKPN (London)
E02000740	Newham 027	LPN	UKPN (London)
E02000741	Newham 028	LPN	UKPN (London)
E02000742	Newham 029	LPN	UKPN (London)
E02000743	Newham 030	LPN	UKPN (London)
E02000744	Newham 031	LPN	UKPN (London)
E02000746	Newham 033	LPN	UKPN (London)
E02000748	Newham 035	LPN	UKPN (London)
E02000753	Redbridge 003	LPN	UKPN (London)
E02000754	Redbridge 004	LPN	UKPN (London)
E02000758	Redbridge 008	LPN	UKPN (London)
E02000760	Redbridge 010	LPN	UKPN (London)
E02000762	Redbridge 012	LPN	UKPN (London)
E02000763	Redbridge 013	LPN	UKPN (London)
E02000765	Redbridge 015	LPN	UKPN (London)
E02000767	Redbridge 017	LPN	UKPN (London)
E02000768	Redbridge 018	LPN	UKPN (London)
E02000770	Redbridge 020	LPN	UKPN (London)
E02000772	Redbridge 022	LPN	UKPN (London)
E02000773	Redbridge 023	LPN	UKPN (London)
E02000774	Redbridge 024	LPN	UKPN (London)
E02000776	Redbridge 026	LPN	UKPN (London)
E02000777	Redbridge 027	LPN	UKPN (London)
E02000779	Redbridge 029	LPN	UKPN (London)
E02000783	Redbridge 033	LPN	UKPN (London)
E02000790	Richmond upon Thames 007	SPN	UKPN (South)
E02000791	Richmond upon Thames 008	SPN	UKPN (South)
E02000792	Richmond upon Thames 009	SPN	UKPN (South)
E02000794	Richmond upon Thames 011	SPN	UKPN (South)
E02000797	Richmond upon Thames 014	SPN	UKPN (South)
E02000799	Richmond upon Thames 016	SPN	UKPN (South)
E02000801	Richmond upon Thames 018	SPN	UKPN (South)
E02000802	Richmond upon Thames 019	SPN	UKPN (South)
E02000804	Richmond upon Thames 021	SPN	UKPN (South)
E02000815	Southwark 009	LPN	UKPN (London)
E02000817	Southwark 011	LPN	UKPN (London)
E02000818	Southwark 012	LPN	UKPN (London)
E02000828	Southwark 022	LPN	UKPN (London)
E02000835	Southwark 029	LPN	UKPN (London)
E02000846	Sutton 007	SPN	UKPN (South)
E02000863	Sutton 024	SPN	UKPN (South)
E02000864	Tower Hamlets 001	LPN	UKPN (London)
E02000865	Tower Hamlets 002	LPN	UKPN (London)
E02000868	Tower Hamlets 005	LPN	UKPN (London)
E02000869	Tower Hamlets 006	LPN	UKPN (London)
E02000870	Tower Hamlets 007	LPN	UKPN (London)
E02000872	Tower Hamlets 009	LPN	UKPN (London)
E02000874	Tower Hamlets 011	LPN	UKPN (London)
E02000876	Tower Hamlets 013	LPN	UKPN (London)
E02000879	Tower Hamlets 016	LPN	UKPN (London)
E02000880	Tower Hamlets 017	LPN	UKPN (London)
E02000881	Tower Hamlets 018	LPN	UKPN (London)
E02000882	Tower Hamlets 019	LPN	UKPN (London)
E02000883	Tower Hamlets 020	LPN	UKPN (London)
E02000885	Tower Hamlets 022	LPN	UKPN (London)
E02000886	Tower Hamlets 023	LPN	UKPN (London)
E02000887	Tower Hamlets 024	LPN	UKPN (London)
E02000889	Tower Hamlets 026	LPN	UKPN (London)
E02000893	Tower Hamlets 030	LPN	UKPN (London)
E02000900	Waltham Forest 006	EPN	UKPN (East)
E02000902	Waltham Forest 008	LPN	UKPN (London)
E02000904	Waltham Forest 010	LPN	UKPN (London)
E02000923	Wandsworth 001	LPN	UKPN (London)
E02000925	Wandsworth 003	LPN	UKPN (London)
E02000927	Wandsworth 005	LPN	UKPN (London)
E02000929	Wandsworth 007	LPN	UKPN (London)
E02000935	Wandsworth 013	LPN	UKPN (London)
E02000940	Wandsworth 018	LPN	UKPN (London)
E02000944	Wandsworth 022	LPN	UKPN (London)
E02000945	Wandsworth 023	LPN	UKPN (London)
E02000951	Wandsworth 029	LPN	UKPN (London)
E02000952	Wandsworth 030	LPN	UKPN (London)
E02000953	Wandsworth 031	LPN	UKPN (London)
E02000954	Wandsworth 032	LPN	UKPN (London)
E02000955	Wandsworth 033	LPN	UKPN (London)
E02000956	Wandsworth 034	LPN	UKPN (London)
E02000959	Wandsworth 037	LPN	UKPN (London)
E02000960	Westminster 001	LPN	UKPN (London)
E02000967	Westminster 008	LPN	UKPN (London)
E02000977	Westminster 018	LPN	UKPN (London)
E02003237	Peterborough 001	EPN	UKPN (East)
E02003238	Peterborough 002	EPN	UKPN (East)
E02003239	Peterborough 003	EPN	UKPN (East)
E02003241	Peterborough 005	EPN	UKPN (East)
E02003259	Luton 002	EPN	UKPN (East)
E02003261	Luton 004	EPN	UKPN (East)
E02003276	Luton 019	EPN	UKPN (East)
E02003299	Thurrock 004	EPN	UKPN (East)
E02003305	Thurrock 010	EPN	UKPN (East)
E02003308	Thurrock 013	EPN	UKPN (East)
E02003312	Thurrock 017	EPN	UKPN (East)
E02003314	Medway 001	SPN	UKPN (South)
E02003315	Medway 002	SPN	UKPN (South)
E02003318	Medway 005	SPN	UKPN (South)
E02003321	Medway 008	SPN	UKPN (South)
E02003322	Medway 009	SPN	UKPN (South)
E02003323	Medway 010	SPN	UKPN (South)
E02003325	Medway 012	SPN	UKPN (South)
E02003327	Medway 014	SPN	UKPN (South)
E02003329	Medway 016	SPN	UKPN (South)
E02003330	Medway 017	SPN	UKPN (South)
E02003332	Medway 019	SPN	UKPN (South)
E02003333	Medway 020	SPN	UKPN (South)
E02003334	Medway 021	SPN	UKPN (South)
E02003335	Medway 022	SPN	UKPN (South)
E02003336	Medway 023	SPN	UKPN (South)
E02003337	Medway 024	SPN	UKPN (South)
E02003339	Medway 026	SPN	UKPN (South)
E02003341	Medway 028	SPN	UKPN (South)
E02003342	Medway 029	SPN	UKPN (South)
E02003343	Medway 030	SPN	UKPN (South)
E02003345	Medway 032	SPN	UKPN (South)
E02003346	Medway 033	SPN	UKPN (South)
E02003347	Medway 034	SPN	UKPN (South)
E02003350	Medway 037	SPN	UKPN (South)
E02003492	Brighton and Hove 002	SPN	UKPN (South)
E02003494	Brighton and Hove 004	SPN	UKPN (South)
E02003506	Brighton and Hove 016	SPN	UKPN (South)
E02003513	Brighton and Hove 023	SPN	UKPN (South)
E02003522	Brighton and Hove 032	SPN	UKPN (South)
E02003600	Central Bedfordshire 002	EPN	UKPN (East)
E02003602	Central Bedfordshire 004	EPN	UKPN (East)
E02003604	Central Bedfordshire 006	EPN	UKPN (East)
E02003613	Central Bedfordshire 015	EPN	UKPN (East)
E02003616	Bedford 001	EPN	UKPN (East)
E02003624	Bedford 009	EPN	UKPN (East)
E02003626	Bedford 011	EPN	UKPN (East)
E02003631	Bedford 016	EPN	UKPN (East)
E02003632	Bedford 017	EPN	UKPN (East)
E02003635	Bedford 020	EPN	UKPN (East)
E02003636	Central Bedfordshire 018	EPN	UKPN (East)
E02003640	Central Bedfordshire 022	EPN	UKPN (East)
E02003641	Central Bedfordshire 023	EPN	UKPN (East)
E02003645	Central Bedfordshire 027	EPN	UKPN (East)
E02003649	Central Bedfordshire 031	EPN	UKPN (East)
E02003651	Central Bedfordshire 033	EPN	UKPN (East)
E02003661	Aylesbury Vale 010	EPN	UKPN (East)
E02003662	Aylesbury Vale 011	EPN	UKPN (East)
E02003663	Aylesbury Vale 012	EPN	UKPN (East)
E02003664	Aylesbury Vale 013	EPN	UKPN (East)
E02003665	Aylesbury Vale 014	EPN	UKPN (East)
E02003669	Aylesbury Vale 018	EPN	UKPN (East)
E02003671	Aylesbury Vale 020	EPN	UKPN (East)
E02003674	Aylesbury Vale 023	EPN	UKPN (East)
E02003676	Chiltern 001	EPN	UKPN (East)
E02003678	Chiltern 003	EPN	UKPN (East)
E02003679	Chiltern 004	EPN	UKPN (East)
E02003697	Wycombe 002	EPN	UKPN (East)
E02003723	Cambridge 005	EPN	UKPN (East)
E02003738	East Cambridgeshire 007	EPN	UKPN (East)
E02003739	East Cambridgeshire 008	EPN	UKPN (East)
E02003742	Fenland 001	EPN	UKPN (East)
E02003746	Fenland 005	EPN	UKPN (East)
E02003748	Fenland 007	EPN	UKPN (East)
E02003749	Fenland 008	EPN	UKPN (East)
E02003750	Fenland 009	EPN	UKPN (East)
E02003754	Huntingdonshire 002	EPN	UKPN (East)
E02003757	Huntingdonshire 005	EPN	UKPN (East)
E02003759	Huntingdonshire 007	EPN	UKPN (East)
E02003761	Huntingdonshire 009	EPN	UKPN (East)
E02003765	Huntingdonshire 013	EPN	UKPN (East)
E02003766	Huntingdonshire 014	EPN	UKPN (East)
E02003767	Huntingdonshire 015	EPN	UKPN (East)
E02003769	Huntingdonshire 017	EPN	UKPN (East)
E02003770	Huntingdonshire 018	EPN	UKPN (East)
E02003771	Huntingdonshire 019	EPN	UKPN (East)
E02003774	Huntingdonshire 022	EPN	UKPN (East)
E02003775	South Cambridgeshire 001	EPN	UKPN (East)
E02003776	South Cambridgeshire 002	EPN	UKPN (East)
E02003777	South Cambridgeshire 003	EPN	UKPN (East)
E02003778	South Cambridgeshire 004	EPN	UKPN (East)
E02003781	South Cambridgeshire 007	EPN	UKPN (East)
E02003786	South Cambridgeshire 012	EPN	UKPN (East)
E02003787	South Cambridgeshire 013	EPN	UKPN (East)
E02003793	South Cambridgeshire 019	EPN	UKPN (East)
E02004363	Eastbourne 008	SPN	UKPN (South)
E02004365	Eastbourne 010	SPN	UKPN (South)
E02004366	Eastbourne 011	SPN	UKPN (South)
E02004368	Hastings 001	SPN	UKPN (South)
E02004371	Hastings 004	SPN	UKPN (South)
E02004372	Hastings 005	SPN	UKPN (South)
